"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1771","Изменение имени с авторизацией","","Mon May 12 22:24:48 CEST 2025","passed","Mon May 12 22:24:50 CEST 2025","","praktikum.user.UserUpdateTest","praktikum.user.UserUpdateTest","updateNameWithAuthTest"
"","840","Логин с неверным паролем","","Mon May 12 22:24:42 CEST 2025","passed","Mon May 12 22:24:43 CEST 2025","","praktikum.user.UserTest","praktikum.user.UserTest","loginWithWrongPasswordTest"
"","1724","Создание заказа без ингредиентов","","Mon May 12 22:24:27 CEST 2025","passed","Mon May 12 22:24:29 CEST 2025","","praktikum.order.OrderCreateTest","praktikum.order.OrderCreateTest","createOrderWithoutIngredients"
"","5116","Получение заказов авторизованного пользователя","","Mon May 12 22:24:34 CEST 2025","passed","Mon May 12 22:24:39 CEST 2025","","praktikum.order.OrderGetTest","praktikum.order.OrderGetTest","getOrdersWithAuth"
"","16066","Создание заказа с авторизацией и ингредиентами","","Mon May 12 22:24:08 CEST 2025","passed","Mon May 12 22:24:24 CEST 2025","","praktikum.order.OrderCreateTest","praktikum.order.OrderCreateTest","createOrderWithAuthAndIngredients"
"","1636","Создание заказа с невалидным ингредиентом","","Mon May 12 22:24:26 CEST 2025","passed","Mon May 12 22:24:27 CEST 2025","","praktikum.order.OrderCreateTest","praktikum.order.OrderCreateTest","createOrderWithInvalidIngredient"
"","913","Создание уже зарегистрированного пользователя","","Mon May 12 22:24:39 CEST 2025","passed","Mon May 12 22:24:40 CEST 2025","","praktikum.user.UserTest","praktikum.user.UserTest","createExistingUserTest"
"","1949","Изменение email с авторизацией","","Mon May 12 22:24:46 CEST 2025","passed","Mon May 12 22:24:48 CEST 2025","","praktikum.user.UserUpdateTest","praktikum.user.UserUpdateTest","updateEmailWithAuthTest"
"","1689","Создание заказа без авторизации","","Mon May 12 22:24:24 CEST 2025","passed","Mon May 12 22:24:26 CEST 2025","","praktikum.order.OrderCreateTest","praktikum.order.OrderCreateTest","createOrderWithoutAuth"
"","1287","Создание уникального пользователя","","Mon May 12 22:24:43 CEST 2025","passed","Mon May 12 22:24:44 CEST 2025","","praktikum.user.UserTest","praktikum.user.UserTest","createUniqueUserTest"
"","1695","Логин с корректными данными","","Mon May 12 22:24:40 CEST 2025","passed","Mon May 12 22:24:42 CEST 2025","","praktikum.user.UserTest","praktikum.user.UserTest","loginWithValidCredentialsTest"
"","4973","Получение заказов без авторизации","","Mon May 12 22:24:29 CEST 2025","passed","Mon May 12 22:24:34 CEST 2025","","praktikum.order.OrderGetTest","praktikum.order.OrderGetTest","getOrdersWithoutAuth"
"","314","Создание пользователя без одного обязательного поля","","Mon May 12 22:24:43 CEST 2025","passed","Mon May 12 22:24:43 CEST 2025","","praktikum.user.UserTest","praktikum.user.UserTest","createUserMissingFieldTest"
"","1517","Изменение данных без авторизации","","Mon May 12 22:24:44 CEST 2025","passed","Mon May 12 22:24:46 CEST 2025","","praktikum.user.UserUpdateTest","praktikum.user.UserUpdateTest","updateWithoutAuthTest"
